iter	Passed	Remaining
0	139	139601
1	141	70839
2	144	48025
3	147	36828
4	151	30128
5	154	25614
6	157	22370
7	160	19905
8	164	18130
9	167	16567
10	172	15464
11	174	14402
12	177	13483
13	180	12699
14	184	12145
15	188	11620
16	191	11093
17	194	10606
18	196	10168
19	198	9733
20	200	9366
21	202	9007
22	204	8669
23	205	8342
24	206	8068
25	208	7798
26	209	7546
27	210	7298
28	211	7064
29	212	6874
30	213	6684
31	215	6506
32	216	6337
33	217	6178
34	218	6029
35	219	5887
36	221	5754
37	222	5628
38	223	5500
39	224	5378
40	225	5280
41	227	5182
42	228	5085
43	229	4987
44	230	4887
45	231	4793
46	232	4712
47	233	4635
48	234	4557
49	235	4478
50	236	4403
51	237	4331
52	238	4270
53	240	4208
54	241	4146
55	242	4082
56	243	4021
57	244	3967
58	245	3917
59	246	3864
60	247	3811
61	248	3762
62	249	3711
63	250	3660
64	250	3610
65	251	3565
66	252	3522
67	253	3475
68	254	3437
69	255	3397
70	256	3355
71	257	3315
72	258	3276
73	259	3244
74	260	3212
75	261	3178
76	262	3143
77	263	3108
78	263	3076
79	264	3043
80	265	3017
81	267	2989
82	268	2961
83	268	2932
84	269	2901
85	270	2872
86	270	2841
87	271	2817
88	273	2795
89	274	2771
90	274	2746
91	275	2721
92	276	2696
93	277	2671
94	278	2650
95	279	2631
96	280	2612
97	281	2589
98	282	2567
99	282	2545
100	283	2525
101	284	2501
102	284	2481
103	286	2464
104	287	2447
105	288	2429
106	288	2411
107	289	2393
108	290	2374
109	291	2356
110	292	2339
111	293	2325
112	294	2310
113	295	2294
114	295	2276
115	296	2259
116	297	2242
117	298	2227
118	298	2212
119	299	2199
120	300	2186
121	301	2171
122	302	2154
123	303	2141
124	303	2127
125	304	2113
126	305	2100
127	306	2086
128	307	2074
129	307	2061
130	308	2049
131	310	2039
132	311	2028
133	312	2019
134	313	2010
135	314	1999
136	315	1987
137	316	1974
138	317	1963
139	317	1951
140	318	1942
141	319	1932
142	321	1924
143	322	1914
144	322	1903
145	323	1892
146	324	1882
147	325	1872
148	326	1865
149	327	1856
150	328	1847
151	329	1837
152	330	1827
153	330	1817
154	331	1808
155	332	1801
156	334	1796
157	342	1825
158	343	1818
159	345	1811
160	346	1807
161	348	1805
162	350	1797
163	351	1790
164	352	1783
165	354	1779
166	355	1775
167	357	1768
168	358	1763
169	360	1762
170	362	1755
171	363	1748
172	365	1745
173	367	1743
174	368	1738
175	370	1732
